Epoch,TrainLoss,TrainAccuracy,ValidationLoss,ValidationAccuracy
0,0.144734,0.925398,0.073465,0.922526
1,0.062637,0.941912,0.000000,0.000000
2,0.050619,0.949571,0.000000,0.000000
3,0.044404,0.954749,0.000000,0.000000
4,0.040044,0.958762,0.000000,0.000000
5,0.036843,0.961703,0.036847,0.958919
6,0.034137,0.964246,0.000000,0.000000
7,0.032247,0.966146,0.000000,0.000000
8,0.030469,0.968995,0.000000,0.000000
9,0.028808,0.969332,0.000000,0.000000
10,0.027532,0.971783,0.029921,0.966088
11,0.026273,0.972426,0.000000,0.000000
12,0.025270,0.973070,0.000000,0.000000
13,0.024265,0.975061,0.000000,0.000000
14,0.023377,0.974449,0.000000,0.000000
15,0.022550,0.976685,0.026401,0.969672
16,0.021862,0.977727,0.000000,0.000000
17,0.021200,0.978830,0.000000,0.000000
18,0.020622,0.978033,0.000000,0.000000
19,0.020043,0.979473,0.000000,0.000000
20,0.019603,0.980331,0.023595,0.971602
21,0.019004,0.979994,0.000000,0.000000
22,0.018590,0.980790,0.000000,0.000000
23,0.018104,0.981863,0.000000,0.000000
24,0.017726,0.981403,0.000000,0.000000
25,0.017270,0.982966,0.021666,0.974083
26,0.016868,0.982537,0.000000,0.000000
27,0.016629,0.983548,0.000000,0.000000
28,0.016258,0.983333,0.000000,0.000000
29,0.015935,0.984436,0.000000,0.000000
30,0.015609,0.984528,0.020290,0.976289
31,0.015384,0.984773,0.000000,0.000000
32,0.015030,0.985018,0.000000,0.000000
33,0.014851,0.985386,0.000000,0.000000
34,0.014563,0.985784,0.000000,0.000000
35,0.014325,0.985723,0.019677,0.976840
36,0.014142,0.986397,0.000000,0.000000
37,0.013814,0.986520,0.000000,0.000000
38,0.013673,0.986550,0.000000,0.000000
39,0.013461,0.986795,0.000000,0.000000
40,0.013373,0.987316,0.018530,0.977667
41,0.013011,0.987194,0.000000,0.000000
42,0.013021,0.987316,0.000000,0.000000
43,0.012748,0.987653,0.000000,0.000000
44,0.012535,0.987960,0.000000,0.000000
45,0.012380,0.987224,0.018670,0.977943
46,0.012214,0.987837,0.000000,0.000000
47,0.012093,0.988297,0.000000,0.000000
48,0.011962,0.987837,0.000000,0.000000
49,0.011803,0.989001,0.000000,0.000000
50,0.011654,0.989001,0.017353,0.979046
51,0.011448,0.989063,0.000000,0.000000
52,0.011412,0.989338,0.000000,0.000000
53,0.011335,0.989216,0.000000,0.000000
54,0.011086,0.988940,0.000000,0.000000
55,0.011073,0.989491,0.017100,0.979046
56,0.010908,0.989430,0.000000,0.000000
57,0.010811,0.989491,0.000000,0.000000
58,0.010658,0.989951,0.000000,0.000000
59,0.010547,0.989890,0.000000,0.000000
60,0.010416,0.990288,0.016570,0.980700
61,0.010427,0.990349,0.000000,0.000000
62,0.010193,0.990257,0.000000,0.000000
63,0.010090,0.990288,0.000000,0.000000
64,0.010060,0.990411,0.000000,0.000000
65,0.009943,0.990656,0.016123,0.980976
66,0.009866,0.990809,0.000000,0.000000
67,0.009741,0.990625,0.000000,0.000000
68,0.009655,0.991238,0.000000,0.000000
69,0.009568,0.991268,0.000000,0.000000
70,0.009436,0.991268,0.015935,0.980700
71,0.009343,0.991513,0.000000,0.000000
72,0.009292,0.991544,0.000000,0.000000
73,0.009209,0.991636,0.000000,0.000000
74,0.009092,0.991483,0.000000,0.000000
75,0.009062,0.991759,0.015744,0.980700
76,0.008925,0.991667,0.000000,0.000000
77,0.008872,0.990533,0.000000,0.000000
78,0.008863,0.992065,0.000000,0.000000
79,0.008710,0.991912,0.000000,0.000000
80,0.008670,0.992341,0.015378,0.982355
81,0.008592,0.992402,0.000000,0.000000
82,0.008511,0.992402,0.000000,0.000000
83,0.008449,0.992188,0.000000,0.000000
84,0.008383,0.992371,0.000000,0.000000
85,0.008251,0.992678,0.015194,0.982079
86,0.008190,0.992157,0.000000,0.000000
87,0.008161,0.992708,0.000000,0.000000
88,0.008073,0.992739,0.000000,0.000000
89,0.007985,0.992892,0.000000,0.000000
90,0.007949,0.992923,0.014835,0.981803
91,0.007909,0.993045,0.000000,0.000000
92,0.007809,0.993045,0.000000,0.000000
93,0.007792,0.993474,0.000000,0.000000
94,0.007755,0.993229,0.000000,0.000000
95,0.007651,0.993536,0.015095,0.980700
96,0.007456,0.993474,0.000000,0.000000
97,0.007346,0.993597,0.000000,0.000000
98,0.007302,0.993597,0.000000,0.000000
99,0.007238,0.993719,0.000000,0.000000
